timestamp,feedback_position_%,setpoint_position_%,motor_torque_Nmm,power_W,internal_temperature_deg_C,rotation_direction,test_number
2026-03-16T15:29:33.797000+00:00,99.5,100.0,0.0,0.0,26.200000000000003,0,203
2026-03-16T15:29:33.843000+00:00,99.5,100.0,0.0,0.0,26.200000000000003,0,203
2026-03-16T15:29:33.890000+00:00,99.5,100.0,0.0,0.0,26.200000000000003,0,203
2026-03-16T15:29:33.938000+00:00,99.5,100.0,0.0,0.0,26.200000000000003,0,203
2026-03-16T15:29:33.984000+00:00,99.5,100.0,0.0,0.0,26.200000000000003,0,203
2026-03-16T15:29:34.031000+00:00,99.5,100.0,0.0,0.0,26.200000000000003,0,203
2026-03-16T15:29:34.078000+00:00,99.5,100.0,0.0,0.0,26.200000000000003,0,203
2026-03-16T15:29:34.126000+00:00,99.5,100.0,0.0,0.0,26.200000000000003,0,203
2026-03-16T15:29:34.174000+00:00,99.5,100.0,0.0,0.0,26.200000000000003,0,203
2026-03-16T15:29:34.220000+00:00,99.5,100.0,0.0,0.0,26.200000000000003,0,203
2026-03-16T15:29:34.271000+00:00,99.5,100.0,0.0,0.0,26.200000000000003,0,203
2026-03-16T15:29:34.319000+00:00,99.5,100.0,0.0,0.0,26.200000000000003,0,203
2026-03-16T15:29:34.366000+00:00,99.5,100.0,0.0,0.0,26.200000000000003,0,203
2026-03-16T15:29:34.415000+00:00,99.5,100.0,0.0,0.0,26.200000000000003,0,203
2026-03-16T15:29:34.461000+00:00,99.5,100.0,0.0,0.0,26.200000000000003,0,203
2026-03-16T15:29:34.508000+00:00,99.5,100.0,0.0,0.0,26.200000000000003,0,203
2026-03-16T15:29:34.554000+00:00,99.5,100.0,0.0,0.0,26.200000000000003,0,203
2026-03-16T15:29:34.601000+00:00,99.5,100.0,0.0,0.0,26.200000000000003,0,203
2026-03-16T15:29:34.648000+00:00,99.5,100.0,0.0,0.0,26.200000000000003,0,203
2026-03-16T15:29:34.694000+00:00,99.5,100.0,0.0,0.0,26.200000000000003,0,203
2026-03-16T15:29:34.741000+00:00,99.5,100.0,0.0,0.0,26.200000000000003,0,203
2026-03-16T15:29:34.787000+00:00,99.5,100.0,0.0,0.0,26.200000000000003,0,203
2026-03-16T15:29:34.834000+00:00,99.5,100.0,0.0,0.0,26.200000000000003,0,203
2026-03-16T15:29:34.882000+00:00,99.5,100.0,0.0,0.0,26.200000000000003,0,203
2026-03-16T15:29:34.928000+00:00,99.5,100.0,0.0,0.0,26.200000000000003,0,203
2026-03-16T15:29:34.975000+00:00,99.5,100.0,0.0,0.0,26.200000000000003,0,203
2026-03-16T15:29:35.023000+00:00,99.5,100.0,0.0,0.0,26.200000000000003,0,203
2026-03-16T15:29:35.072000+00:00,99.5,100.0,0.0,0.0,26.200000000000003,0,203
2026-03-16T15:29:35.120000+00:00,99.5,100.0,0.0,0.0,26.200000000000003,0,203
2026-03-16T15:29:35.166000+00:00,99.5,100.0,0.0,0.0,26.200000000000003,0,203
2026-03-16T15:29:35.213000+00:00,99.5,100.0,0.0,0.0,26.200000000000003,0,203
