run_id,waveform_type,cycle_id,smoothness_score,consistency_score,physical_plausibility_score,total_score,sample_count,start_time,end_time
P3_HIGH_TRIANGLE_001,triangle,8,0.9977174161148096,0.04321521175453761,1.0,0.6642122905600121,22,2026-03-16T18:38:50.166000+00:00,2026-03-16T18:38:51.170000+00:00
P3_HIGH_TRIANGLE_001,triangle,9,0.9999999999996589,0.046687762618664724,1.0,0.6663407169163962,21,2026-03-16T18:38:51.216000+00:00,2026-03-16T18:38:52.163000+00:00
P3_HIGH_TRIANGLE_001,triangle,10,0.9669719261373417,0.050542179746370146,1.0,0.6544785333661662,19,2026-03-16T18:38:52.217000+00:00,2026-03-16T18:38:53.159000+00:00
P3_HIGH_TRIANGLE_001,triangle,11,0.9860045146728318,0.055615946608691263,1.0,0.6638673871821748,20,2026-03-16T18:38:53.211000+00:00,2026-03-16T18:38:54.218000+00:00
P3_HIGH_TRIANGLE_001,triangle,12,0.9999999999996589,0.04054759735007117,1.0,0.6641916590723884,290,2026-03-16T18:38:54.270000+00:00,2026-03-16T18:39:08.422000+00:00
P3_HIGH_TRIANGLE_001,triangle,13,1.0,0.030145704237146204,1.0,0.6605509964830012,19,2026-03-16T18:39:08.473000+00:00,2026-03-16T18:39:09.437000+00:00
P3_HIGH_TRIANGLE_001,triangle,14,0.8362369337979545,0.030389631917094637,1.0,0.5951311446901649,22,2026-03-16T18:39:09.485000+00:00,2026-03-16T18:39:10.495000+00:00
P3_HIGH_TRIANGLE_001,triangle,15,0.9520801568286564,0.03270105782967373,1.0,0.6422774329718484,21,2026-03-16T18:39:10.543000+00:00,2026-03-16T18:39:11.503000+00:00
P3_HIGH_TRIANGLE_001,triangle,16,0.9689647528262336,0.034539361789348265,1.0,0.6496746777567654,21,2026-03-16T18:39:11.549000+00:00,2026-03-16T18:39:12.503000+00:00
P3_HIGH_TRIANGLE_001,triangle,17,0.9933719582850453,0.0366315275346982,1.0,0.6601698179511625,21,2026-03-16T18:39:12.550000+00:00,2026-03-16T18:39:13.509000+00:00
P3_HIGH_TRIANGLE_001,triangle,18,0.9605548268496256,0.03932831996567711,1.0,0.6479868427278372,22,2026-03-16T18:39:13.557000+00:00,2026-03-16T18:39:14.600000+00:00
P3_HIGH_TRIANGLE_001,triangle,19,0.9988574040217362,0.041957063937903556,1.0,0.6642279339869608,22,2026-03-16T18:39:14.647000+00:00,2026-03-16T18:39:15.633000+00:00
P3_HIGH_TRIANGLE_001,triangle,20,0.990452167832642,0.044662795891022775,1.0,0.6618128456949148,22,2026-03-16T18:39:15.680000+00:00,2026-03-16T18:39:16.682000+00:00
